seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag,factor,slot_0,slot_1,slot_2,slot_3
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f0,0.20399433374404907,0.20693492889404297,0.2149716466665268,0.3741005063056946
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f1,0.4034048616886139,0.2867952287197113,0.22640690207481384,0.08339254558086395
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f2,0.21736569702625275,0.20881502330303192,0.1956050544977188,0.37821295857429504
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f3,0.23233452439308167,0.18731527030467987,0.19160664081573486,0.38874179124832153
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f4,0.23769941926002502,0.19154608249664307,0.1812739223241806,0.3894810974597931
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f5,0.23956738412380219,0.1883304864168167,0.18487486243247986,0.38722628355026245
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f6,0.141479030251503,0.22480155527591705,0.27394649386405945,0.3597704768180847
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f7,0.30206921696662903,0.2860996723175049,0.2724637985229492,0.1393647938966751
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f8,0.1812191754579544,0.21042507886886597,0.23425982892513275,0.3740953207015991
47,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,f9,0.07840140163898468,0.21732261776924133,0.37059298157691956,0.3336808383464813
