model,n_seeds,rmse_mean_mean,rmse_mean_ci95_lo,rmse_mean_ci95_hi,mae_mean_mean,mae_mean_ci95_lo,mae_mean_ci95_hi,nll_mean,nll_ci95_lo,nll_ci95_hi,sharp_mean,sharp_ci95_lo,sharp_ci95_hi,reg_ece_mean,reg_ece_ci95_lo,reg_ece_ci95_hi
FlatMLP_RESVAR+cdfCal90,3,0.225541353225708,0.21861551336349455,0.23246719308792146,0.15645268062750498,0.1491358899069706,0.16376947134803935,-1.3271092573801677,-1.3950843418860523,-1.259134172874283,0.050837114453315735,0.04192535700594605,0.05974887190068542,0.012617168327172598,0.009114809228431378,0.01611952742591382
FlatMLP_RESVAR+gaussSplitConf90,3,0.225541353225708,0.21861551336349455,0.23246719308792146,0.15645268062750498,0.1491358899069706,0.16376947134803935,-1.3271092573801677,-1.3950843418860523,-1.259134172874283,0.050837114453315735,0.04192535700594605,0.05974887190068542,0.012617168327172598,0.009114809228431378,0.01611952742591382
FlatMLP_RESVAR+pfT,3,0.225541353225708,0.21861551336349455,0.23246719308792146,0.15645268062750498,0.1491358899069706,0.16376947134803935,-1.3324333429336548,-1.4025396751153991,-1.2623270107519104,0.05512632429599762,0.05109709071247946,0.05915555787951578,0.010307621831695238,0.009254294179927479,0.011360949483462997
FlatMLP_RESVAR+posthocT,3,0.225541353225708,0.21861551336349455,0.23246719308792146,0.15645268062750498,0.1491358899069706,0.16376947134803935,-1.3298813899358113,-1.3979542699546046,-1.261808509917018,0.05543199305733045,0.0451836602724845,0.0656803258421764,0.011609472334384918,0.008312361401716959,0.014906583267052877
MeanPoolLinear_NLL,3,0.48855672279993695,0.48773723661891377,0.4893762089809601,0.37048548460006714,0.3699628776132654,0.37100809158686887,-0.4464590350786845,-0.44799218544164,-0.444925884715729,0.24870217343171439,0.24759931114018296,0.2498050357232458,0.02173975979288419,0.020566949449761094,0.022912570136007285
MeanPoolLinear_NLL+cdfCal90,3,0.48855672279993695,0.48773723661891377,0.4893762089809601,0.37048548460006714,0.3699628776132654,0.37100809158686887,-0.4464590350786845,-0.44799218544164,-0.444925884715729,0.24870217343171439,0.24759931114018296,0.2498050357232458,0.02173975979288419,0.020566949449761094,0.022912570136007285
MeanPoolLinear_NLL+gaussSplitConf90,3,0.48855672279993695,0.48773723661891377,0.4893762089809601,0.37048548460006714,0.3699628776132654,0.37100809158686887,-0.4464590350786845,-0.44799218544164,-0.444925884715729,0.24870217343171439,0.24759931114018296,0.2498050357232458,0.02173975979288419,0.020566949449761094,0.022912570136007285
MeanPoolLinear_NLL+pfT,3,0.48855672279993695,0.48773723661891377,0.4893762089809601,0.37048548460006714,0.3699628776132654,0.37100809158686887,-0.44642940163612366,-0.4479414409729039,-0.4449173622993434,0.24764538804690042,0.24513574638557856,0.2501550297082223,0.021639645099639893,0.021118271695642912,0.022161018503636873
MeanPoolLinear_NLL+posthocT,3,0.48855672279993695,0.48773723661891377,0.4893762089809601,0.37048548460006714,0.3699628776132654,0.37100809158686887,-0.4464571277300517,-0.4479912158680262,-0.4449230395920772,0.24822846551736197,0.2454309566114523,0.2510259744232716,0.02175123306612174,0.02053226154536957,0.022970204586873908
MeanPoolLinear_RESVAR,3,0.48396434386571247,0.48379412377722597,0.48413456395419896,0.3709038396676381,0.37068983482678675,0.3711178445084895,-0.43749935428301495,-0.43848837576306016,-0.43651033280296975,0.2147412101427714,0.21140680556206473,0.21807561472347806,0.03299964219331741,0.03118466976026462,0.034814614626370206
MeanPoolLinear_RESVAR+cdfCal90,3,0.48396434386571247,0.48379412377722597,0.48413456395419896,0.3709038396676381,0.37068983482678675,0.3711178445084895,-0.43749935428301495,-0.43848837576306016,-0.43651033280296975,0.2147412101427714,0.21140680556206473,0.21807561472347806,0.03299964219331741,0.03118466976026462,0.034814614626370206
MeanPoolLinear_RESVAR+gaussSplitConf90,3,0.48396434386571247,0.48379412377722597,0.48413456395419896,0.3709038396676381,0.37068983482678675,0.3711178445084895,-0.43749935428301495,-0.43848837576306016,-0.43651033280296975,0.2147412101427714,0.21140680556206473,0.21807561472347806,0.03299964219331741,0.03118466976026462,0.034814614626370206
MeanPoolLinear_RESVAR+pfT,3,0.48396434386571247,0.48379412377722597,0.48413456395419896,0.3709038396676381,0.37068983482678675,0.3711178445084895,-0.44044677416483563,-0.4415180877198833,-0.43937546060978794,0.24005861580371857,0.23801617888793858,0.24210105271949856,0.02367497670153777,0.023320709674112945,0.024029243728962594
MeanPoolLinear_RESVAR+posthocT,3,0.48396434386571247,0.48379412377722597,0.48413456395419896,0.3709038396676381,0.37068983482678675,0.3711178445084895,-0.4399384359518687,-0.4410085988362792,-0.43886827306745824,0.23593059182167053,0.23418328623433193,0.23767789740900913,0.024914612993597984,0.024275732369803304,0.025553493617392665
MeanPoolMLP_NLL,3,0.34938016533851624,0.3456440724301806,0.3531162582468519,0.26103824377059937,0.2592450271802307,0.26283146036096805,-0.8264222542444865,-0.8434409989672907,-0.8094035095216822,0.13869990408420563,0.13482251638083229,0.14257729178757897,0.013907824332515398,0.013080906409231575,0.01473474225579922
MeanPoolMLP_NLL+cdfCal90,3,0.34938016533851624,0.3456440724301806,0.3531162582468519,0.26103824377059937,0.2592450271802307,0.26283146036096805,-0.8264222542444865,-0.8434409989672907,-0.8094035095216822,0.13869990408420563,0.13482251638083229,0.14257729178757897,0.013907824332515398,0.013080906409231575,0.01473474225579922
MeanPoolMLP_NLL+gaussSplitConf90,3,0.34938016533851624,0.3456440724301806,0.3531162582468519,0.26103824377059937,0.2592450271802307,0.26283146036096805,-0.8264222542444865,-0.8434409989672907,-0.8094035095216822,0.13869990408420563,0.13482251638083229,0.14257729178757897,0.013907824332515398,0.013080906409231575,0.01473474225579922
MeanPoolMLP_NLL+pfT,3,0.34938016533851624,0.3456440724301806,0.3531162582468519,0.26103824377059937,0.2592450271802307,0.26283146036096805,-0.8286083141962687,-0.8472731842605434,-0.8099434441319939,0.13944144546985626,0.13760820906666987,0.14127468187304265,0.0133217911546429,0.012501159674666255,0.014142422634619546
MeanPoolMLP_NLL+posthocT,3,0.34938016533851624,0.3456440724301806,0.3531162582468519,0.26103824377059937,0.2592450271802307,0.26283146036096805,-0.8264162540435791,-0.84341486892913,-0.8094176391580282,0.1382479468981425,0.13181974120828702,0.14467615258799796,0.013899806576470533,0.012855203364745937,0.01494440978819513
MeanPoolMLP_RESVAR,3,0.34431599577267963,0.34061042000617575,0.3480215715391835,0.2586044867833455,0.2555981026864775,0.26161087088021356,-0.828236440817515,-0.8508382083807876,-0.8056346732542424,0.11960317194461823,0.11265053305591397,0.12655581083332249,0.018375270068645477,0.015513235084231688,0.021237305053059267
MeanPoolMLP_RESVAR+cdfCal90,3,0.34431599577267963,0.34061042000617575,0.3480215715391835,0.2586044867833455,0.2555981026864775,0.26161087088021356,-0.828236440817515,-0.8508382083807876,-0.8056346732542424,0.11960317194461823,0.11265053305591397,0.12655581083332249,0.018375270068645477,0.015513235084231688,0.021237305053059267
MeanPoolMLP_RESVAR+gaussSplitConf90,3,0.34431599577267963,0.34061042000617575,0.3480215715391835,0.2586044867833455,0.2555981026864775,0.26161087088021356,-0.828236440817515,-0.8508382083807876,-0.8056346732542424,0.11960317194461823,0.11265053305591397,0.12655581083332249,0.018375270068645477,0.015513235084231688,0.021237305053059267
MeanPoolMLP_RESVAR+pfT,3,0.34431599577267963,0.34061042000617575,0.3480215715391835,0.2586044867833455,0.2555981026864775,0.26161087088021356,-0.832252045472463,-0.8557710055440896,-0.8087330854008364,0.13217746218045553,0.1256055022829449,0.13874942207796617,0.015501026064157486,0.01298347682722761,0.018018575301087362
MeanPoolMLP_RESVAR+posthocT,3,0.34431599577267963,0.34061042000617575,0.3480215715391835,0.2586044867833455,0.2555981026864775,0.26161087088021356,-0.8292658527692159,-0.8518126182964125,-0.8067190872420194,0.1268439640601476,0.12380467865860852,0.12988324946168672,0.016624262866874535,0.013446749169781298,0.019801776563967772
